I1;I2;I3;gx;gy;gz;ax;ay;az;V1real;V2real;V3real;N1;N2;N3;Type
0,497041385;0,001972385;0,493096692;1,013076923;-0,070769231;-0,173846154;0,012545074;-0,025747455;0,001652648;-265,8461538;0;278,3076923;-4620;8;4623;3
0,562130231;0,037475315;0,597632846;2,421538462;0,582307692;-0,152307692;-0,001746548;-0,006554238;-0,002178494;-267,9230769;-4,153846154;270;-3897;-25;3881;3
0,343195308;0,009861931;0,357001931;1,728461538;0,013846154;-0,229230777;-0,010873666;-0,00848861;-0,020038322;-168,2307692;4,153846154;176,5384615;-3083;-16;3060;3
0,353276111;0,562678389;0,314814556;1,529444444;0,906666667;-0,091666672;-0,002170142;-0,0004069;0,00945367;159;-316,5;160,5;3806;-8010;3928;3
0,292307667;0,516239267;0,494017067;-1,208;-1,168;1,767333333;0,02242838;0,029150353;0,008186851;-109,8;-325,8;482,4;-1648;-5325;7508;3
0,09743582;0,716239533;0,425640733;0,497333333;1,094;0,61266666;0,000374355;0,001920599;0,004752594;-140,4;-311,4;466,2;-2374;-5403;8171;3
0,292307533;0,3846152;0,606837533;2,530666667;2,054666667;1,757333333;-0,013785814;-0,013395178;-0,005810549;-102,6;-340,2;455,4;-1729;-5448;7386;3
0,176281888;0,24999975;0,3461535;1,308125;-0,005;17,766875;-0,011154159;0,008026123;-0,008178714;175,5;163,6875;160,3125;2996;2857;2752;3
0,163461394;0,280448438;0,346153625;0,916875;0,0825;19,880625;-0,0064392;0,02894592;0,002380379;165,375;160,3125;156,9375;3172;2980;2913;3
0,283653563;0,307692;0,2227562;-16,46125;0,52625;17,50375;-0,009948738;0,038452138;-0,116546653;158,625;153,5625;167,0625;2765;2776;2925;3
0,346153571;0,280219579;0,239926586;0,890714286;-0,838571429;39,105;-0,011526912;-0,035191165;0,003574915;341,3571429;351;356,7857143;5528;5624;5701;3
0,208791007;0,276556579;0,2948715;0,608571429;-1,430714286;41,34214286;-0,023454944;-0,029750284;-0,001708988;341,3571429;347,1428571;352,9285714;5874;5829;5842;3
